Year,club_name,overall,value_eur,age
2015,Stoke City,73,1800000.0,32
2015,Aston Villa,73,2000000.0,29
2015,Cardiff City,73,2000000.0,32
2015,Wigan Athletic,73,2000000.0,29
2015,Crystal Palace,73,2500000.0,28
2015,Norwich City,73,2700000.0,27
2015,Stoke City,73,2500000.0,28
2015,Crystal Palace,73,2300000.0,27
2015,Wigan Athletic,73,2500000.0,28
2015,Cardiff City,73,2600000.0,29
2015,Cardiff City,73,2300000.0,29
2015,Norwich City,73,2200000.0,28
2015,West Bromwich Albion,73,2500000.0,28
2015,Stoke City,73,2100000.0,30
2015,Aston Villa,73,2900000.0,27
2015,Manchester City,73,2800000.0,26
2015,Fulham,73,2800000.0,28
2015,Manchester City,73,2300000.0,27
2015,Sunderland,73,2300000.0,25
2015,West Bromwich Albion,73,2700000.0,27
2015,Brighton & Hove Albion,73,2600000.0,29
2015,West Ham United,73,2400000.0,25
2015,Hull City,73,1600000.0,31
2015,Norwich City,73,2800000.0,25
2015,Stoke City,73,2400000.0,25
2015,Brighton & Hove Albion,73,2500000.0,28
2015,Hull City,73,2800000.0,28
2015,Aston Villa,73,2300000.0,24
2015,Norwich City,73,2800000.0,26
2015,Cardiff City,73,2300000.0,24
2015,Stoke City,73,2200000.0,28
2015,Newcastle United,73,2900000.0,24
2015,Hull City,73,2700000.0,27
2015,Aston Villa,73,3000000.0,25
2015,Hull City,73,2700000.0,24
2015,Crystal Palace,73,2800000.0,25
2015,Queens Park Rangers,73,2700000.0,24
2015,Aston Villa,73,2400000.0,22
2015,Watford,73,2400000.0,22
2015,Wigan Athletic,73,2800000.0,25
2015,Norwich City,73,2100000.0,20
2015,Aston Villa,73,2400000.0,25
2015,Tottenham Hotspur,73,1800000.0,20
2015,Everton,73,1800000.0,20
2015,Sunderland,73,2400000.0,25
2015,Aston Villa,73,1800000.0,21
2015,Tottenham Hotspur,73,1800000.0,21
2015,Brighton & Hove Albion,72,750000.0,34
2015,Aston Villa,72,2000000.0,29
2015,Everton,72,1100000.0,33
2015,Manchester City,72,400000.0,35
2015,West Bromwich Albion,72,2200000.0,31
2015,Watford,72,2900000.0,27
2015,Burnley,72,1800000.0,30
2015,Burnley,72,2500000.0,28
2015,Norwich City,72,1500000.0,32
2015,Wolverhampton Wanderers,72,2800000.0,25
2015,Derby County,72,1600000.0,31
2015,Derby County,72,2700000.0,27
2015,Stoke City,72,2000000.0,29
2015,Crystal Palace,72,1500000.0,32
2015,Middlesbrough,72,1500000.0,32
2015,Burnley,72,2500000.0,28
2015,West Bromwich Albion,72,2500000.0,26
2015,Cardiff City,72,2900000.0,27
2015,Sunderland,72,2300000.0,29
2015,Derby County,72,2800000.0,28
2015,Reading,72,2600000.0,29
2015,Crystal Palace,72,2700000.0,27
2015,Norwich City,72,2900000.0,27
2015,Manchester City,72,2900000.0,27
2015,Stoke City,72,2500000.0,26
2015,Manchester City,72,2800000.0,25
2015,West Bromwich Albion,72,3100000.0,26
2015,Crystal Palace,72,3100000.0,26
2015,Crystal Palace,72,2400000.0,27
2015,Swansea City,72,2400000.0,25
