nome,time_abreviado,idade,altura,peso,universidade,país,num_jogos,pontos,rebotes,assistencias,temporada
Reggie Miller,IND,31,200.66,83.91452,UCLA,USA,81,21.6,3.5,3.4,1996-97
Reggie Slater,TOR,26,200.66,97.52228,Wyoming,USA,26,7.8,3.7,0.8,1996-97
Reggie Williams,NJN,33,201,86,Georgetown,USA,13,5.8,2.4,0.8,1996-97
Rony Seikaly,ORL,32,210.82,114.758776,Syracuse,USA,74,17.3,9.5,1.2,1996-97
Rex Chapman,PHX,29,193.04,88.45044,Kentucky,USA,65,13.8,2.8,2.8,1996-97
Richard Manning,LAC,27,210.82,111.13004,Washington,USA,26,2.9,1.5,0.1,1996-97
Rick Fox,BOS,27,200.66,112.944408,North Carolina,Canada,76,15.4,5.2,3.8,1996-97
Rick Mahorn,DET,38,208.28,117.93392,Hampton,USA,22,2.5,2.4,0.3,1996-97
Ricky Pierce,CHH,37,193.04,97.52228,Rice,USA,60,11,2,1.3,1996-97
Rik Smits,IND,30,223.52,120.20188,Marist,USA,52,17.1,6.9,1.3,1996-97
Robert Horry,LAL,26,208.28,99.79024,Alabama,USA,54,7.8,4.4,2,1996-97
Robert Pack,DAL,28,187.96,86.18248,Southern California,USA,54,14.3,2.7,8.4,1996-97
Robert Parish,CHI,43,215.9,110.676448,Centenary (LA),USA,43,3.7,2.1,0.5,1996-97
Robert Werdann,NJN,26,210.82,113.398,St. John's (NY),USA,6,1.5,1,0,1996-97
