,label,distance_type,algorithm,precisao,radius_min,silhouette_mean,silhouette_max,rand_index_mean,rand_index_max,exec_time_mean
31,11: 0.5,euclidean,Busca Binaria 2,20,2.2814316509684236,0.3200774610730651,0.3200774610730651,0.14106816039729517,0.14106816039729517,1.1203511999997318
32,11: 0.5,euclidean,Busca Binaria 2,3,2.5535949834944454,0.3542937106009457,0.3542937106009457,0.1106089139987445,0.1106089139987445,0.19979689999991024
33,11: 0.5,euclidean,Busca Binaria 2,4,2.5535949834944454,0.3367419828003266,0.3367419828003266,0.12254315249975951,0.12254315249975951,0.18141520000017408
34,11: 0.5,euclidean,Busca Binaria 2,5,2.097595879299009,0.30252185122572556,0.30252185122572556,0.10350368241318643,0.10350368241318643,0.4457950000000892
35,11: 0.5,euclidean,Busca Binaria 2,6,2.2799955209771836,0.34011362617270197,0.34011362617270197,0.1438463634787061,0.1438463634787061,0.401683999999932
36,11: 0.5,manhattan,Busca Binaria 1,2,3.0711166914194417,0.28283755771488334,0.35378649166915477,0.08606956317927038,0.1364393458670688,0.0006337000000106248
37,11: 0.5,manhattan,Busca Binaria 1,20,3.0226306368836857,0.29021227099283187,0.35791681865369573,0.09589544428488025,0.15350315722854307,0.003856519999953889
38,11: 0.5,manhattan,Busca Binaria 1,3,3.0711166914194417,0.2735692284783291,0.3332033579061091,0.08228009774343463,0.1380864703776004,0.0006424866666748131
39,11: 0.5,manhattan,Busca Binaria 1,4,3.0711166914194417,0.2736345043565586,0.3415599733542513,0.07574640412368482,0.15070560169920116,0.0008723666666204129
40,11: 0.5,manhattan,Busca Binaria 1,5,3.0711166914194417,0.2840899922687202,0.339719117421805,0.0878903957021433,0.15138652357130813,0.0009755833333201736
41,11: 0.5,manhattan,Busca Binaria 1,6,2.9431534959436316,0.2904967213915636,0.351623919098997,0.08590604244131858,0.14619118659971927,0.0012642200000755111
42,11: 0.5,manhattan,Busca Binaria 2,2,3.0711166914194417,0.2466718818048739,0.2466718818048739,0.06664277712088713,0.06664277712088713,0.008292500000152359
43,11: 0.5,manhattan,Busca Binaria 2,20,2.8002180442588904,0.3405947963163012,0.3405947963163012,0.12825966204759398,0.12825966204759398,0.06614110000009532
44,11: 0.5,manhattan,Busca Binaria 2,3,3.0711166914194417,0.3377996908514863,0.3377996908514863,0.1337938535213369,0.1337938535213369,0.011120699999992212
45,11: 0.5,manhattan,Busca Binaria 2,4,3.0711166914194417,0.27898075898668423,0.27898075898668423,0.08527570635131335,0.08527570635131335,0.014161799999783398
46,11: 0.5,manhattan,Busca Binaria 2,5,3.0711166914194417,0.32640466725474665,0.32640466725474665,0.1503746598269029,0.1503746598269029,0.017202999999881285
47,11: 0.5,manhattan,Busca Binaria 2,6,2.5592639095162015,0.3114904539070566,0.3114904539070566,0.11441816799664356,0.11441816799664356,0.020631500000035885
48,12: 0.5,euclidean,Busca Binaria 1,2,1.901092830366253,0.4526321194298227,0.5184322016630671,0.6495803733394588,0.8763814716978845,0.012404403333403025
49,12: 0.5,euclidean,Busca Binaria 1,20,1.6634562265704713,0.4855157232791523,0.517930041887793,0.722925488915482,0.8948591472361791,0.08479732666663344
50,12: 0.5,euclidean,Busca Binaria 1,3,1.901092830366253,0.4442190309588308,0.5149327161232579,0.640746236857042,0.8657999391126502,0.0175297199999477
51,12: 0.5,euclidean,Busca Binaria 1,4,1.7426684278357318,0.47893112355791023,0.5202724262517416,0.7066315315198699,0.886440404040404,0.018042239999977026
52,12: 0.5,euclidean,Busca Binaria 1,5,1.7426684278357318,0.46033012505321047,0.5183116992525661,0.6809619944603628,0.8655162539830611,0.018883180000026794
53,12: 0.5,euclidean,Busca Binaria 1,6,1.7426684278357318,0.47635740553445843,0.5192592662486715,0.7091731575096424,0.8948841667815246,0.025192426666732597
54,12: 0.5,euclidean,Busca Binaria 2,2,1.901092830366253,0.47843260793105646,0.47843260793105646,0.7014944296637681,0.7014944296637681,0.156564200000048
55,12: 0.5,euclidean,Busca Binaria 2,20,1.5682096463076376,0.5002470798155539,0.5002470798155539,0.7548125658649891,0.7548125658649891,1.148197699999855
56,12: 0.5,euclidean,Busca Binaria 2,3,1.5842440253052108,0.5122644204811012,0.5122644204811012,0.8771172861323783,0.8771172861323783,0.16135330000042813
57,12: 0.5,euclidean,Busca Binaria 2,4,1.7426684278357318,0.5179666704600273,0.5179666704600273,0.856611260253705,0.856611260253705,0.2779771000000437
58,12: 0.5,euclidean,Busca Binaria 2,5,1.7426684278357318,0.5086967449395401,0.5086967449395401,0.7396395650420293,0.7396395650420293,0.3244813000001159
59,12: 0.5,euclidean,Busca Binaria 2,6,1.5842440253052108,0.5204840441972518,0.5204840441972518,0.8864481270970795,0.8864481270970795,0.48602789999995366
60,12: 0.5,manhattan,Busca Binaria 1,2,2.676570237449327,0.42025138932242545,0.5038774611459741,0.6004690840858381,0.8481367572706255,0.0006739200000386821
61,12: 0.5,manhattan,Busca Binaria 1,20,2.1189514379807175,0.4518064604606637,0.5060583529697175,0.6778197806545616,0.8500839767576119,0.004011839999990722
62,12: 0.5,manhattan,Busca Binaria 1,3,2.676570237449327,0.42076299990833266,0.4935556255229423,0.6089913882177805,0.8328687615010352,0.0007332800000009835
63,12: 0.5,manhattan,Busca Binaria 1,4,2.2304751978744393,0.4295214768396024,0.49295476581118164,0.62101979114826,0.8220067152804843,0.0009912866667188306
64,12: 0.5,manhattan,Busca Binaria 1,5,2.2304751978744393,0.436579135445673,0.5019241908455827,0.6514311161201115,0.8410215048424481,0.001187009999982062
65,12: 0.5,manhattan,Busca Binaria 1,6,2.2304751978744393,0.4497141232284779,0.5026853855636442,0.6720309600401212,0.8604319397861949,0.0012604033333142677
66,12: 0.5,manhattan,Busca Binaria 2,2,2.676570237449327,0.447480603045483,0.447480603045483,0.7219184991108027,0.7219184991108027,0.006733100000019476
67,12: 0.5,manhattan,Busca Binaria 2,20,2.1264049607519344,0.49230010357632664,0.49230010357632664,0.8416469472769067,0.8416469472769067,0.06539770000017597
68,12: 0.5,manhattan,Busca Binaria 2,3,2.676570237449327,0.46500936394845854,0.46500936394845854,0.7173380406248859,0.7173380406248859,0.006258099999740807
69,12: 0.5,manhattan,Busca Binaria 2,4,2.2304751978744393,0.47794814550580667,0.47794814550580667,0.7496092370198348,0.7496092370198348,0.007724700000380835
70,12: 0.5,manhattan,Busca Binaria 2,5,2.1189514379807175,0.46538453802814944,0.46538453802814944,0.6618356907440185,0.6618356907440185,0.014174299999922368
71,12: 0.5,manhattan,Busca Binaria 2,6,2.2304751978744393,0.48147183772929975,0.48147183772929975,0.7517613018969106,0.7517613018969106,0.018372599999565864
72,13: 0.5,euclidean,Busca Binaria 1,2,2.0305614151748963,0.2996341543222741,0.3668384071600225,0.2873941623061698,0.42385840279748727,0.014057266666592719
73,13: 0.5,euclidean,Busca Binaria 1,20,2.029156811331391,0.3287802609970518,0.35980450430473043,0.35045107498126415,0.4134617307572553,0.0903960466666831
74,13: 0.5,euclidean,Busca Binaria 1,3,2.707415220233195,0.29129163693378124,0.3672777131779382,0.27690346551791106,0.4590258049629221,0.013921849999981835
75,13: 0.5,euclidean,Busca Binaria 1,4,2.3689883177040456,0.3008628041406707,0.3569694870179433,0.292650545205383,0.4470130846599802,0.018562046666678118
76,13: 0.5,euclidean,Busca Binaria 1,5,2.0305614151748963,0.3312614662831853,0.37048142012219915,0.3497875006066532,0.4871356783919598,0.02139719666667285
77,13: 0.5,euclidean,Busca Binaria 1,6,2.0305614151748963,0.32896569545212206,0.373460377626241,0.34337880166869983,0.4844596386656237,0.029233583333355757
78,13: 0.5,euclidean,Busca Binaria 2,2,2.0305614151748963,0.35186954601994974,0.35186954601994974,0.4095243522198859,0.4095243522198859,0.19223620000002484
79,13: 0.5,euclidean,Busca Binaria 2,20,1.934025884842256,0.33223338499851734,0.33223338499851734,0.28979625558891536,0.28979625558891536,1.1492762000002585
80,13: 0.5,euclidean,Busca Binaria 2,3,2.0305614151748963,0.36872085470528887,0.36872085470528887,0.396893536362312,0.396893536362312,0.34284000000025117
81,13: 0.5,euclidean,Busca Binaria 2,4,2.0305614151748963,0.34689964333603,0.34689964333603,0.3767678265410829,0.3767678265410829,0.30321809999986726
82,13: 0.5,euclidean,Busca Binaria 2,5,2.0305614151748963,0.3708172918521683,0.3708172918521683,0.4191775894843697,0.4191775894843697,0.37272140000004583
83,13: 0.5,euclidean,Busca Binaria 2,6,2.0305614151748963,0.3174187054462074,0.3174187054462074,0.3602463089963058,0.3602463089963058,0.503478399999949
84,13: 0.5,manhattan,Busca Binaria 1,2,2.68028555878897,0.29371135512554924,0.3735554910540938,0.28535180290023027,0.4432498143717102,0.0006749333332360645
85,13: 0.5,manhattan,Busca Binaria 1,20,2.456928428889889,0.3270173855000988,0.3882085779571815,0.33364527365392543,0.418547243277552,0.004464326666735966
86,13: 0.5,manhattan,Busca Binaria 1,3,2.68028555878897,0.31131095915092516,0.37404827607215557,0.31863692028524526,0.4169044648325552,0.0009001266666473385
87,13: 0.5,manhattan,Busca Binaria 1,4,2.68028555878897,0.3253228512413708,0.37806024179428116,0.3246118293333318,0.47241751227726586,0.0010559933333297521
88,13: 0.5,manhattan,Busca Binaria 1,5,2.79196412373851,0.32947251268544764,0.3825856042315225,0.33379609938414273,0.457081619561526,0.001300780000034744
89,13: 0.5,manhattan,Busca Binaria 1,6,2.68028555878897,0.33400260565691015,0.40365365979731477,0.3379190861168751,0.43722940079210665,0.0015312466667031306
90,13: 0.5,manhattan,Busca Binaria 2,2,2.68028555878897,0.2854632974687794,0.2854632974687794,0.33169927683775424,0.33169927683775424,0.010289699999702862
91,13: 0.5,manhattan,Busca Binaria 2,20,2.5407282505140127,0.3242656847629356,0.3242656847629356,0.29598015808904926,0.29598015808904926,0.06496900000001915
92,13: 0.5,manhattan,Busca Binaria 2,3,2.68028555878897,0.29896517386065397,0.29896517386065397,0.3350688215071335,0.3350688215071335,0.008352100000138307
93,13: 0.5,manhattan,Busca Binaria 2,4,2.68028555878897,0.34683158099366307,0.34683158099366307,0.33113893976142156,0.33113893976142156,0.017177000000174303
94,13: 0.5,manhattan,Busca Binaria 2,5,2.68028555878897,0.24602493371587533,0.24602493371587533,0.2773031906634979,0.2773031906634979,0.02308050000010553
95,13: 0.5,manhattan,Busca Binaria 2,6,2.5686069938394294,0.35356204353859727,0.35356204353859727,0.3771630016223989,0.3771630016223989,0.023548000000118918
96,14: 0.5,euclidean,Busca Binaria 1,2,2.18953534936321,0.34118696117712916,0.44280404791253486,0.41380239783031486,0.7100795066100479,0.012657199999997223
97,14: 0.5,euclidean,Busca Binaria 1,20,2.156743769996145,0.39096043149029486,0.45069091901206426,0.5226607537692031,0.7133993445450741,0.07855118999996194
98,14: 0.5,euclidean,Busca Binaria 1,3,2.18953534936321,0.3458944144737091,0.4445086626116976,0.41597966443047085,0.682032571330224,0.016952033333351817
99,14: 0.5,euclidean,Busca Binaria 1,4,2.007074070249609,0.399900974578891,0.44472275941799844,0.5361624715077713,0.7028346294781844,0.021189626666743303
100,14: 0.5,euclidean,Busca Binaria 1,5,2.18953534936321,0.3799625839830785,0.4384568929917852,0.4894105801760702,0.6590282974103675,0.021157809999931488
101,14: 0.5,euclidean,Busca Binaria 1,6,2.09830470980641,0.38701661814464045,0.4495904085060323,0.5060509547648299,0.7142554503641422,0.026201083333368538
102,14: 0.5,euclidean,Busca Binaria 2,2,2.18953534936321,0.4289115414406515,0.4289115414406515,0.5900997219108968,0.5900997219108968,0.20314890000008745
